特徴名,値,数
入国時年齢,24.0,11
入国時年齢,25.0,7
入国時年齢,27.0,7
入国時年齢,20.0,6
入国時年齢,26.0,4
入国時年齢,22.0,4
入国時年齢,21.0,4
入国時年齢,23.0,2
入国時年齢,28.0,2
入国時年齢,19.0,1
入国時年齢,30.0,1
入国時年齢,29.0,1
性別,男,29
性別,女,21
職種関係,建設関係,17
職種関係,食品製造関係,16
職種関係,その他,10
職種関係,機械・金属関係,3
職種関係,社内検定型,2
職種関係,繊維・衣服関係,1
職種関係,農業・林業関係,1
職種,非加熱性水産加工食品製造業,6
職種,加熱性水産加工食品製造業,4
職種,とび,4
職種,そう菜製造業,4
職種,建設機械施工,4
職種,電子機器組立て,2
職種,空港グランドハンドリング,2
職種,左官,2
職種,建築板金,2
職種,塗装,2
職種,ビルクリーニング,2
職種,介護,2
職種,工業包装,2
職種,鉄筋施工,1
職種,食鳥処理加工業,1
職種,コンクリート製品製造,1
職種,水産練り製品製造,1
職種,婦人子供服製造,1
職種,建築大工,1
職種,紙器・段ボール箱製造,1
職種,防水施工,1
職種,冷凍空気調和機器施工,1
職種,鉄工,1
職種,型枠施工,1
職種,耕種農業,1
所在地(実習先)(都道府県),宮城県,13
所在地(実習先)(都道府県),東京都,6
所在地(実習先)(都道府県),福岡県,6
所在地(実習先)(都道府県),茨城県,2
所在地(実習先)(都道府県),埼玉県,2
所在地(実習先)(都道府県),山梨県,2
所在地(実習先)(都道府県),京都府,2
所在地(実習先)(都道府県),福井県,2
所在地(実習先)(都道府県),鹿児島県,2
所在地(実習先)(都道府県),兵庫県,2
所在地(実習先)(都道府県),岡山県,2
所在地(実習先)(都道府県),鳥取県,1
所在地(実習先)(都道府県),大分県,1
所在地(実習先)(都道府県),神奈川県,1
所在地(実習先)(都道府県),福島県,1
所在地(実習先)(都道府県),千葉県,1
所在地(実習先)(都道府県),山形県,1
所在地(実習先)(都道府県),大阪府,1
所在地(実習先)(都道府県),三重県,1
所在地(実習先)(都道府県),高知県,1
所在地(実習先)(市区町村),仙台市,5
所在地(実習先)(市区町村),石巻市,5
所在地(実習先)(市区町村),甲府市,2
所在地(実習先)(市区町村),福井市,2
所在地(実習先)(市区町村),大田区,2
所在地(実習先)(市区町村),鹿児島市,2
所在地(実習先)(市区町村),田川市,1
所在地(実習先)(市区町村),倉敷市,1
所在地(実習先)(市区町村),米沢市,1
所在地(実習先)(市区町村),大牟田市,1
所在地(実習先)(市区町村),川口市,1
所在地(実習先)(市区町村),稲敷郡阿見町,1
所在地(実習先)(市区町村),塩竈市,1
所在地(実習先)(市区町村),江東区,1
所在地(実習先)(市区町村),気仙沼市,1
所在地(実習先)(市区町村),大阪市,1
所在地(実習先)(市区町村),尼崎市,1
所在地(実習先)(市区町村),武蔵村山市,1
所在地(実習先)(市区町村),川越市,1
所在地(実習先)(市区町村),津市,1
所在地(実習先)(市区町村),京都市,1
所在地(実習先)(市区町村),福島市,1
所在地(実習先)(市区町村),松戸市,1
所在地(実習先)(市区町村),角田市,1
所在地(実習先)(市区町村),西東京市,1
所在地(実習先)(市区町村),綴喜郡井手町,1
所在地(実習先)(市区町村),大分市,1
所在地(実習先)(市区町村),米子市,1
所在地(実習先)(市区町村),由布市,1
所在地(実習先)(市区町村),飯塚市,1
所在地(実習先)(市区町村),相模原市,1
所在地(実習先)(市区町村),福岡市,1
所在地(実習先)(市区町村),北九州市,1
所在地(実習先)(市区町村),姫路市,1
所在地(実習先)(市区町村),大刀洗町,1
所在地(実習先)(市区町村),新宿区,1
所在地(実習先)(市区町村),総社市,1
所在地(実習先)(市区町村),南国市,1
派遣会社,"MYANMAR UNITED SK CO.,LTD",25
派遣会社,"SUT ZAI CO.,LTD",15
派遣会社,"MOE YAN GENERAL SERVICES CO.,LTD",4
派遣会社,"M.H.E CO.,LTD",3
派遣会社,"TOP COMET CO.,LTD",3
学校所属,ヤンゴン学校,33
学校所属,KP日本語学校,10
学校所属,マンダレー校,2
学校所属,ネピドー学校,2
学校所属,ミッチーナー学校,1
学校所属,MK日本語学校,1
学校所属,CB日本語学校,1
組合,JOP協同組合,16
組合,フォーグッド協同組合,12
組合,宮城県農水産サービス振興協同組合,4
組合,エフ・アドバンス経済協同組合,4
組合,一般社団法人日中科学技術文化センター,3
組合,れいめい事業協同組合,3
組合,三陸アシスト協同組合,2
組合,西日本海外業務支援協同組合,2
組合,日中ネットワークサービス協同組合,1
組合,健康生活事業協同組合,1
組合,アシスト国際事業協同組合,1
組合,ハンズ協同組合,1
所属機関,MAY KINN SAN COMPANY LIMITED,47
所属機関,"HIGH WIN INTERNATIONAL CO.,LTD",1
所属機関,AUNG THAIN KHA NGAR PON,1
所属機関,SMART SPACE CONSTRUCTION COMPANY LIMITED,1
